accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.05,full-open
385,378,0.9818181818181818,0.01818181818181818,7,0.9888392857142857,0.9993184407552084,0.4296875,0.0,0.6405693950177935,witt_context_style,0.0,0.5703125,0.6,0.65859375,590.1,0,0.421875,0.05,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.5673642903858731,fixed_refine_all,0.0,0.6116071428571429,0.6,0.6825892857142858,611.6,0,0.3872767857142857,0.05,full-open
387,381,0.9844961240310077,0.015503875968992248,6,0.42857142857142855,0.9997406005859375,0.43191964285714285,0.0,0.7393751212885699,opensemcom_receiver_only,0.0,0.5680803571428571,0.6,0.5751116071428571,515.3,0,0.4252232142857143,0.05,full-open
386,381,0.9870466321243523,0.012953367875647668,5,0.42857142857142855,0.9997812906901041,0.43080357142857145,0.0,0.7409568261376895,opensemcom_no_channel,0.0,0.5691964285714286,0.6,0.5738839285714287,514.2,0,0.4252232142857143,0.05,full-open
390,384,0.9846153846153847,0.015384615384615385,6,0.9709821428571429,0.9991048177083334,0.43526785714285715,0.005208333333333333,0.8540925266903914,opensemcom_progressive,0.016741071428571428,0.5647321428571429,0.6,0.5017857142857143,449.6,0,0.42857142857142855,0.05,full-open
338,337,0.9970414201183432,0.0029585798816568047,1,0.9732142857142857,0.9904811864648482,0.37723214285714285,0.013089005235602094,0.8557643473844591,dino_detector,0.0,0.6227678571428571,0.8,0.4395089285714286,393.8,0,0.37611607142857145,0.05,full-open
385,378,0.9818181818181818,0.01818181818181818,7,0.9899553571428571,0.9992268880208334,0.4296875,0.0,0.7366984993178717,ensemble_detector,0.0,0.5703125,0.8,0.57265625,513.1,0,0.421875,0.05,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.8,0.1,89.60000000000001,0,0.0,0.05,full-open
385,378,0.9818181818181818,0.01818181818181818,7,0.9888392857142857,0.9993184407552084,0.4296875,0.0,0.6405693950177935,witt_context_style,0.0,0.5703125,0.8,0.65859375,590.1,0,0.421875,0.05,full-open
