row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
OpenSemCom,deepsense-beam,0.02,0.8,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.02,0.8,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.05,0.8,opensemcom_progressive,3,0.31806615776081426,0.2891037666633178,0.3271517095133305,0.0044444444444444444,0.007698003589195011,0.008711111111111112,0.32061068702290074,0.2923773740794741,0.33085614503429095,0.6622222222222223,0.5735400144263242,0.6490216241713178,42.0,38.301436004411116,43.342154999492124,0.4954198473282443,0.3648727200803947,0.412892351790399,0.4586872109032966,0.3972380981442866,0.44951722487611856,0.15521628498727735,0.14328659771298818,0.16214404929128431,0.6793893129770993,0.2923773740794742,0.33085614503429106,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.05,0.8,witt_context_style,3,0.3027989821882952,0.2765354318619466,0.31292929981089007,0.013513513513513514,0.023406091994174018,0.026486486486486487,0.3104325699745547,0.28657319542597637,0.32428809858256863,0.6531531531531531,0.5660103046431748,0.6405009554296845,40.666666666666664,37.5410886008029,42.48174091431649,0.5035623409669211,0.3725451540537692,0.42157452815733915,0.4284499595055027,0.3711129481120375,0.41995383456479135,0.0,0.0,0.0,0.6895674300254453,0.2865731954259763,0.3242880985825686,0.9109414758269719,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.1,0.8,opensemcom_progressive,3,0.7251908396946565,0.08078629957449135,0.091418303940086,0.04528781463668626,0.02127209864019945,0.024071645677248954,0.7608142493638677,0.09725961757565597,0.11005961812162667,0.9547121853633138,0.021272098640199428,0.02407164567724893,99.66666666666667,12.741009902410928,14.417809973933089,0.7847328244274809,0.08753365581809032,0.09905365630946394,0.9241995150427614,0.010846700950292176,0.012274197598402292,0.0,0.0,0.0,0.23918575063613232,0.09725961757565593,0.11005961812162662,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.1,0.8,dino_detector,3,0.7277353689567431,0.07646299847998332,0.08652602820071006,0.045196615366280425,0.021412150379644394,0.024230129139808217,0.7633587786259541,0.09286660351600338,0.10508845473583397,0.9548033846337196,0.021412150379644366,0.02423012913980819,100.0,12.165525060596439,13.766587570394243,0.7870229007633588,0.08357994316440301,0.09457960926225054,0.9248120183313696,0.011077375684712737,0.012535230633627688,0.0,0.0,0.0,0.23664122137404578,0.09286660351600337,0.10508845473583395,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.01,1.0,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.01,1.0,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.02,1.0,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.02,1.0,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
